,Date,Bitcoin_Price,Bitcoin_Vol.,Ethereum_Price,Ethereum_Vol.,Gold_Price,Gold_Vol.
1242,04-02-2019,3462.8,503920.0,107.9,5020000.0,1319.3,159560.0
1241,05-02-2019,3468.4,460950.0,107.37,4670000.0,1319.2,129010.0
1240,06-02-2019,3404.3,514210.00000000006,104.63,6150000.0,1314.4,137250.0
1239,07-02-2019,3397.7,471360.0,104.55,5050000.0,1314.2,166760.0
1238,08-02-2019,3661.7,699230.0,119.23,9190000.0,1318.5,150610.0
1237,11-02-2019,3631.8,517280.0,121.3,6130000.0,1311.9,150610.0
1236,12-02-2019,3632.0,545820.0,122.64,5740000.0,1314.0,146450.0
1235,13-02-2019,3611.5,558020.0,122.22,6170000.0,1315.1,213960.0
1234,14-02-2019,3592.6,498140.0,120.97,5810000.0,1313.9,228460.0
1233,15-02-2019,3604.7,516210.00000000006,121.73,5690000.0,1322.1,200280.0
1232,19-02-2019,3914.3,1440000.0,144.01,9900000.0,1344.8,348640.0
1231,20-02-2019,3972.4,698010.0,149.11,8610000.0,1347.9,246720.0
1230,21-02-2019,3936.6,668160.0,145.78,7210000.0,1327.8,285810.0
1229,22-02-2019,3965.2,649550.0,147.97,6790000.0,1332.8,241800.0
1228,25-02-2019,3833.7,765870.0,138.27,10550000.0,1329.5,181780.0
1227,26-02-2019,3810.3,2090000.0,136.67,11750000.0,1328.5,185560.0
1226,27-02-2019,3814.6,2820000.0,135.2,16110000.0,1321.2,198040.0
1225,28-02-2019,3816.6,2310000.0,135.47,16079999.999999998,1316.1,252240.0
1224,01-03-2019,3821.9,1740000.0,135.72,9730000.0,1299.2,343470.0
1223,04-03-2019,3715.9,2850000.0,125.97,14110000.0,1287.5,268390.0
1222,05-03-2019,3857.2,3820000.0,136.82,16739999.999999998,1284.7,216930.0
1221,06-03-2019,3863.0,2520000.0,137.62,14700000.0,1287.6,192930.0
1220,07-03-2019,3875.1,2600000.0,136.93,13290000.0,1286.1,257920.00000000003
1219,08-03-2019,3865.9,2960000.0,133.85,12380000.0,1299.3,283840.0
1218,11-03-2019,3870.3,3190000.0,132.99,11170000.0,1291.1,196860.0
1217,12-03-2019,3886.0,2900000.0,133.8,13030000.0,1298.1,203890.0
1216,13-03-2019,3865.1,2280000.0,131.97,9590000.0,1309.3,214240.0
1215,14-03-2019,3879.0,2860000.0,132.45,9790000.0,1295.1,248210.0
1214,15-03-2019,3924.3,3110000.0,136.75,12550000.0,1302.9,234650.0
1213,18-03-2019,3990.2,2620000.0,137.92,12870000.0,1301.5,176490.0
1212,19-03-2019,4017.0,2990000.0,138.72,10840000.0,1306.5,206900.0
1211,20-03-2019,4041.2,3180000.0,139.31,10460000.0,1301.7,370400.0
1210,21-03-2019,3982.2,3880000.0,135.11,12950000.0,1307.3,332610.0
1209,22-03-2019,3990.4,2830000.0,136.42,10180000.0,1312.3,271380.0
1208,25-03-2019,3937.0,2860000.0,134.25,11490000.0,1322.6,251980.0
1207,26-03-2019,3942.8,2530000.0,134.37,9470000.0,1315.0,267170.0
1206,27-03-2019,4041.7,2780000.0,139.65,15470000.0,1310.4,206260.0
1205,28-03-2019,4025.6,2110000.0,138.15,9520000.0,1295.3,426820.0
