,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.
0,04-02-2019,2.66,116490.0,54.56,622470.0
1,05-02-2019,2.662,82250.0,53.66,609760.0
2,06-02-2019,2.662,98330.0,54.01,606720.0
3,07-02-2019,2.551,211790.0,52.64,749010.0
4,08-02-2019,2.583,147880.0,52.72,621000.0
5,11-02-2019,2.642,202420.0,52.41,750240.0
6,12-02-2019,2.688,169230.0,53.1,708310.0
7,13-02-2019,2.575,185480.0,53.9,706550.0
8,14-02-2019,2.573,101560.0,54.41,623550.0
9,15-02-2019,2.625,98410.0,55.59,276910.0
10,19-02-2019,2.662,151750.0,56.09,153730.0
11,20-02-2019,2.636,110140.0,56.92,37680.0
12,21-02-2019,2.697,97900.0,56.96,546200.0
13,22-02-2019,2.717,35120.0,57.26,513440.00000000006
14,25-02-2019,2.836,80150.0,55.48,723010.0
15,26-02-2019,2.855,14320.0,55.5,538920.0
16,27-02-2019,2.799,94050.0,56.94,577230.0
17,28-02-2019,2.812,118340.0,57.22,496680.0
18,01-03-2019,2.859,134660.0,55.8,684190.0
19,04-03-2019,2.857,103660.0,56.59,549400.0
20,05-03-2019,2.884,103060.0,56.56,538400.0
21,06-03-2019,2.841,119630.0,56.22,637680.0
22,07-03-2019,2.866,117000.0,56.66,628820.0
23,08-03-2019,2.865,85880.0,56.07,747360.0
24,11-03-2019,2.772,136890.0,56.79,597160.0
25,12-03-2019,2.784,90020.0,56.87,652800.0
26,13-03-2019,2.82,101210.0,58.26,610620.0
27,14-03-2019,2.855,85280.0,58.61,567600.0
28,15-03-2019,2.795,82710.0,58.52,507390.0
29,18-03-2019,2.85,102230.0,59.09,157240.0
30,19-03-2019,2.874,109750.0,59.03,114820.0
31,20-03-2019,2.82,114170.0,59.83,31130.0
32,21-03-2019,2.821,83790.0,59.98,655380.0
33,22-03-2019,2.753,92640.0,59.04,738840.0
34,25-03-2019,2.755,49170.0,58.82,705400.0
35,26-03-2019,2.74,37150.0,59.94,685990.0
36,27-03-2019,2.713,9640.0,59.41,732150.0
37,28-03-2019,2.712,78720.0,59.3,712210.0
38,29-03-2019,2.662,115410.0,60.14,705560.0
39,01-04-2019,2.708,129460.0,61.59,670810.0
40,02-04-2019,2.684,106550.0,62.58,793230.0
41,03-04-2019,2.677,96800.0,62.46,799670.0
42,04-04-2019,2.643,123660.0,62.1,684970.0
43,05-04-2019,2.664,120320.0,63.08,686860.0
44,08-04-2019,2.708,154200.0,64.4,895770.0
45,09-04-2019,2.699,117350.0,63.98,790680.0
46,10-04-2019,2.7,127470.0,64.61,722220.0
47,11-04-2019,2.664,161210.0,63.58,760500.0
48,12-04-2019,2.66,88010.0,63.89,625590.0
49,15-04-2019,2.59,137630.0,63.4,555860.0
50,16-04-2019,2.572,103430.0,64.05,547470.0
51,17-04-2019,2.517,144890.0,63.76,235380.0
52,18-04-2019,2.49,168000.0,64.0,148240.0
53,22-04-2019,2.524,105450.0,65.7,30140.0
54,23-04-2019,2.455,119950.0,66.3,700600.0
55,24-04-2019,2.462,44970.0,65.89,678390.0
56,25-04-2019,2.514,53340.0,65.21,603000.0
57,26-04-2019,2.566,9990.0,63.3,1000000.0
58,29-04-2019,2.593,92360.0,63.5,654080.0
59,30-04-2019,2.575,94250.0,63.91,750490.0
60,01-05-2019,2.62,105390.0,63.6,676870.0
61,02-05-2019,2.589,120840.0,61.81,914660.0
62,03-05-2019,2.567,89980.0,61.94,646870.0
63,06-05-2019,2.524,95210.0,62.25,768810.0
64,07-05-2019,2.537,115820.0,61.4,842810.0
65,08-05-2019,2.61,167090.0,62.12,791770.0
66,09-05-2019,2.595,123680.0,61.7,769580.0
67,10-05-2019,2.619,132050.0,61.66,786490.0
68,13-05-2019,2.621,116270.0,61.04,1000000.0
69,14-05-2019,2.659,92880.0,61.78,751670.0
70,15-05-2019,2.601,123120.0,62.02,723000.0
71,16-05-2019,2.639,113110.0,62.87,545680.0
72,17-05-2019,2.631,79760.0,62.76,215800.0
73,20-05-2019,2.673,123610.0,63.1,131890.0
74,21-05-2019,2.613,144130.0,62.99,28910.0
75,22-05-2019,2.543,162720.0,61.42,766730.0
76,23-05-2019,2.578,118320.0,57.91,1110000.0
77,24-05-2019,2.598,55430.0,58.63,758100.0
78,28-05-2019,2.582,47430.0,59.14,1020000.0
79,29-05-2019,2.633,8810.0,58.81,1120000.0
80,30-05-2019,2.547,167470.0,56.59,842280.0
81,31-05-2019,2.454,198410.0,53.5,1030000.0
82,03-06-2019,2.403,204390.0,53.25,984310.0
83,04-06-2019,2.416,132770.0,53.48,831630.0
84,05-06-2019,2.378,109980.0,51.68,943190.0
85,06-06-2019,2.324,177940.0,52.59,790070.0
86,07-06-2019,2.337,154550.0,53.99,828130.0
87,10-06-2019,2.357,169930.0,53.26,687150.0
88,11-06-2019,2.399,163810.0,53.27,642940.0
89,12-06-2019,2.386,148270.0,51.14,786110.0
90,13-06-2019,2.325,180140.0,52.28,945020.0
91,14-06-2019,2.387,132410.0,52.51,574230.0
92,17-06-2019,2.386,120280.0,51.93,397870.0
93,18-06-2019,2.328,121400.0,53.9,181640.0
94,19-06-2019,2.276,173670.0,53.76,122840.0
95,20-06-2019,2.185,210070.0,56.65,27880.0
96,21-06-2019,2.186,92240.0,57.43,676050.0
97,24-06-2019,2.303,67650.0,57.9,597160.0
98,25-06-2019,2.308,55010.0,57.83,673140.0
99,26-06-2019,2.291,6630.0,59.38,686820.0
100,27-06-2019,2.324,108700.0,59.43,531410.0
101,28-06-2019,2.308,116430.0,58.47,556100.0
102,01-07-2019,2.267,149170.0,59.09,674890.0
103,02-07-2019,2.24,96730.0,56.25,878940.0
104,03-07-2019,2.29,91190.0,57.34,600130.0
105,05-07-2019,2.418,237740.0,57.51,698020.0
106,08-07-2019,2.403,201730.0,57.66,540860.0
107,09-07-2019,2.425,202650.0,57.83,551870.0
108,10-07-2019,2.444,193980.0,60.43,690660.0
109,11-07-2019,2.416,213620.0,60.2,573020.0
110,12-07-2019,2.453,171930.0,60.21,469030.0
111,15-07-2019,2.408,150760.0,59.58,566820.0
112,16-07-2019,2.306,148940.0,57.62,712540.0
113,17-07-2019,2.304,135140.0,56.78,504430.0
114,18-07-2019,2.287,173290.0,55.3,215360.0
115,19-07-2019,2.251,109060.0,55.63,105220.0
116,22-07-2019,2.312,168620.0,56.22,24300.0
117,23-07-2019,2.3,106900.0,56.77,521880.0
118,24-07-2019,2.22,116590.0,55.88,745250.0
119,25-07-2019,2.244,47530.0,56.02,559280.0
120,26-07-2019,2.169,45840.0,56.2,476790.0
121,29-07-2019,2.141,8760.0,56.87,529740.0
122,30-07-2019,2.137,91720.0,58.05,547400.0
123,31-07-2019,2.233,221830.0,58.58,614000.0
124,01-08-2019,2.202,251300.0,53.95,886750.0
125,02-08-2019,2.121,206340.0,55.66,739810.0
126,05-08-2019,2.07,179230.0,54.69,823840.0
127,06-08-2019,2.111,142250.0,53.63,682790.0
128,07-08-2019,2.083,203420.0,51.09,1060000.0
