,Date,Gold_Price,Gold_Vol.
0,04-02-2019,1319.3,159560.0
1,05-02-2019,1319.2,129010.0
2,06-02-2019,1314.4,137250.0
3,07-02-2019,1314.2,166760.0
4,08-02-2019,1318.5,150610.0
5,11-02-2019,1311.9,150610.0
6,12-02-2019,1314.0,146450.0
7,13-02-2019,1315.1,213960.0
8,14-02-2019,1313.9,228460.0
9,15-02-2019,1322.1,200280.0
10,19-02-2019,1344.8,348640.0
11,20-02-2019,1347.9,246720.0
12,21-02-2019,1327.8,285810.0
13,22-02-2019,1332.8,241800.0
14,25-02-2019,1329.5,181780.0
15,26-02-2019,1328.5,185560.0
16,27-02-2019,1321.2,198040.0
17,28-02-2019,1316.1,252240.0
18,01-03-2019,1299.2,343470.0
19,04-03-2019,1287.5,268390.0
20,05-03-2019,1284.7,216930.0
21,06-03-2019,1287.6,192930.0
22,07-03-2019,1286.1,257920.00000000003
23,08-03-2019,1299.3,283840.0
24,11-03-2019,1291.1,196860.0
25,12-03-2019,1298.1,203890.0
26,13-03-2019,1309.3,214240.0
27,14-03-2019,1295.1,248210.0
28,15-03-2019,1302.9,234650.0
29,18-03-2019,1301.5,176490.0
30,19-03-2019,1306.5,206900.0
31,20-03-2019,1301.7,370400.0
32,21-03-2019,1307.3,332610.0
33,22-03-2019,1312.3,271380.0
34,25-03-2019,1322.6,251980.0
35,26-03-2019,1315.0,267170.0
36,27-03-2019,1310.4,206260.0
37,28-03-2019,1295.3,426820.0
38,29-03-2019,1298.5,270180.0
39,01-04-2019,1294.2,236660.0
40,02-04-2019,1295.4,196400.0
41,03-04-2019,1295.3,190370.0
42,04-04-2019,1294.3,262540.0
43,05-04-2019,1295.6,231450.0
44,08-04-2019,1301.9,207570.0
45,09-04-2019,1308.3,200340.0
46,10-04-2019,1313.9,218880.0
47,11-04-2019,1293.3,324740.0
48,12-04-2019,1295.2,192490.0
49,15-04-2019,1291.3,232990.0
50,16-04-2019,1277.2,326510.0
51,17-04-2019,1276.8,223360.0
52,18-04-2019,1276.0,229630.0
53,22-04-2019,1277.6,136440.0
54,23-04-2019,1273.2,280340.0
55,24-04-2019,1279.4,246050.0
56,25-04-2019,1279.7,237150.0
57,26-04-2019,1288.8,278890.0
58,29-04-2019,1281.5,208960.0
59,30-04-2019,1285.7,239440.0
60,01-05-2019,1284.2,275430.0
61,02-05-2019,1272.0,282500.0
62,03-05-2019,1281.3,280320.0
63,06-05-2019,1283.8,244340.0
64,07-05-2019,1285.6,251090.0
65,08-05-2019,1281.4,302690.0
66,09-05-2019,1285.2,306550.0
67,10-05-2019,1287.4,238640.0
68,13-05-2019,1301.8,379440.0
69,14-05-2019,1296.3,222050.0
70,15-05-2019,1297.8,247520.0
71,16-05-2019,1286.2,282070.0
72,17-05-2019,1275.7,264570.0
73,20-05-2019,1277.3,212180.0
74,21-05-2019,1273.2,213170.0
75,22-05-2019,1274.2,191370.0
76,23-05-2019,1285.4,330160.0
77,24-05-2019,1283.6,218710.0
78,28-05-2019,1280.1,780.0
79,29-05-2019,1281.0,189690.0
80,30-05-2019,1292.4,284020.0
81,31-05-2019,1311.1,341180.0
82,03-06-2019,1327.9,363400.0
83,04-06-2019,1328.7,319960.0
84,05-06-2019,1333.6,413470.0
85,06-06-2019,1342.7,263090.0
86,07-06-2019,1346.1,331290.0
87,10-06-2019,1329.3,228030.0
88,11-06-2019,1331.2,215150.0
89,12-06-2019,1336.8,234460.0
90,13-06-2019,1343.7,204830.0
91,14-06-2019,1344.5,358450.0
92,17-06-2019,1342.9,238710.0
93,18-06-2019,1350.7,376270.0
94,19-06-2019,1348.8,332610.0
95,20-06-2019,1396.9,542900.0
96,21-06-2019,1400.1,518890.0
97,24-06-2019,1418.2,375150.0
98,25-06-2019,1418.7,643590.0
99,26-06-2019,1415.4,421950.0
100,27-06-2019,1412.0,336360.0
101,28-06-2019,1413.7,306620.0
102,01-07-2019,1389.3,389760.0
103,02-07-2019,1408.0,383250.0
104,03-07-2019,1420.9,419610.0
105,05-07-2019,1403.4,340.0
106,08-07-2019,1400.0,318690.0
107,09-07-2019,1400.5,287180.0
108,10-07-2019,1412.5,443500.0
109,11-07-2019,1406.7,400090.0
110,12-07-2019,1412.2,284970.0
111,15-07-2019,1413.5,243380.0
112,16-07-2019,1411.2,334820.0
113,17-07-2019,1423.3,358170.0
114,18-07-2019,1428.1,481330.0
115,19-07-2019,1426.7,530020.0
116,22-07-2019,1426.9,255350.0
117,23-07-2019,1421.7,386680.0
118,24-07-2019,1423.6,318160.0
119,25-07-2019,1414.7,489390.0
120,26-07-2019,1419.3,306020.0
121,29-07-2019,1420.4,224270.0
122,30-07-2019,1441.8,259620.0
123,31-07-2019,1437.8,419580.0
124,01-08-2019,1432.4,587560.0
125,02-08-2019,1457.5,493050.0
126,05-08-2019,1476.5,534190.0
127,06-08-2019,1484.2,381920.0
128,07-08-2019,1519.6,651550.0
129,08-08-2019,1509.5,402960.0
130,09-08-2019,1508.5,332610.0
131,12-08-2019,1517.2,355100.0
132,13-08-2019,1514.1,616740.0
133,14-08-2019,1527.8,484190.0
134,15-08-2019,1531.2,436120.0
135,16-08-2019,1523.6,322460.0
136,19-08-2019,1511.6,295830.0
137,20-08-2019,1515.7,247540.0
138,21-08-2019,1515.7,245900.0
139,22-08-2019,1508.5,279410.0
140,23-08-2019,1537.6,473000.0
141,26-08-2019,1537.2,411670.0
142,27-08-2019,1551.8,347050.0
143,28-08-2019,1549.1,353910.0
144,29-08-2019,1536.9,455600.0
145,30-08-2019,1529.4,330850.0
146,03-09-2019,1552.8,0.0
147,04-09-2019,1560.4,412350.0
148,05-09-2019,1525.5,606400.0
149,06-09-2019,1515.5,544870.0
150,09-09-2019,1511.1,317520.0
151,10-09-2019,1499.2,397920.0
152,11-09-2019,1503.2,308790.0
153,12-09-2019,1507.4,491470.0
154,13-09-2019,1499.5,364420.0
155,16-09-2019,1511.5,349610.0
156,17-09-2019,1513.4,336630.0
157,18-09-2019,1515.8,364960.0
158,19-09-2019,1506.2,291300.0
159,20-09-2019,1515.1,284390.0
160,23-09-2019,1531.5,359880.0
161,24-09-2019,1540.2,424860.0
162,25-09-2019,1512.3,481460.0
163,26-09-2019,1515.2,378290.0
164,27-09-2019,1506.4,451930.0
165,30-09-2019,1472.9,439710.0
166,01-10-2019,1489.0,450170.0
167,02-10-2019,1507.9,393100.0
168,03-10-2019,1513.8,408740.0
169,04-10-2019,1512.9,344790.0
170,07-10-2019,1504.4,257780.0
171,08-10-2019,1503.9,371440.0
172,09-10-2019,1512.8,285280.0
173,10-10-2019,1500.9,417880.0
174,11-10-2019,1488.7,485960.0
175,14-10-2019,1497.6,228320.0
176,15-10-2019,1483.5,317990.0
177,16-10-2019,1494.0,367900.0
178,17-10-2019,1498.3,305670.0
179,18-10-2019,1494.1,232550.0
180,21-10-2019,1488.1,284290.0
181,22-10-2019,1487.5,208970.0
182,23-10-2019,1495.7,244620.0
183,24-10-2019,1504.7,305010.0
184,25-10-2019,1505.3,368740.0
185,28-10-2019,1495.8,318130.0
186,29-10-2019,1490.7,291980.0
187,30-10-2019,1496.7,353640.0
188,31-10-2019,1514.8,390010.0
189,01-11-2019,1511.4,380990.0
190,04-11-2019,1511.1,260200.0
191,05-11-2019,1483.7,593620.0
192,06-11-2019,1493.1,313720.0
193,07-11-2019,1466.4,674980.0
194,08-11-2019,1462.9,447070.0
195,11-11-2019,1457.1,310160.0
196,12-11-2019,1453.7,429610.0
197,13-11-2019,1463.3,352330.0
198,14-11-2019,1473.4,317400.0
199,15-11-2019,1468.5,251210.0
200,18-11-2019,1471.9,331240.0
201,19-11-2019,1474.3,307860.0
202,20-11-2019,1474.2,369970.0
203,21-11-2019,1463.6,388340.0
204,22-11-2019,1463.6,320500.0
205,25-11-2019,1456.9,298710.0
206,26-11-2019,1460.3,346360.0
207,27-11-2019,1453.4,88360.0
208,29-11-2019,1472.7,272340.0
209,02-12-2019,1469.2,316580.0
210,03-12-2019,1484.4,400900.0
211,04-12-2019,1480.2,319730.0
212,05-12-2019,1483.1,240010.0
213,06-12-2019,1465.1,317320.0
214,09-12-2019,1464.9,177220.0
215,10-12-2019,1468.1,228830.0
216,11-12-2019,1475.0,251730.0
217,12-12-2019,1472.3,409860.0
218,13-12-2019,1481.2,356680.0
219,16-12-2019,1480.5,165850.0
220,17-12-2019,1480.6,173250.0
221,18-12-2019,1478.7,197970.0
222,19-12-2019,1484.4,201190.0
223,20-12-2019,1480.9,140770.0
224,23-12-2019,1488.7,162450.0
225,24-12-2019,1504.8,183680.0
226,26-12-2019,1514.4,216610.0
227,27-12-2019,1518.1,204990.0
228,30-12-2019,1518.6,178720.0
229,31-12-2019,1523.1,220850.0
230,02-01-2020,1528.1,270550.0
231,03-01-2020,1552.4,436740.0
232,06-01-2020,1568.8,558970.0
233,07-01-2020,1574.3,435870.0
234,08-01-2020,1560.2,813410.0
235,09-01-2020,1554.3,372880.0
236,10-01-2020,1560.1,344340.0
237,13-01-2020,1550.6,311730.0
238,14-01-2020,1544.6,340910.0
239,15-01-2020,1554.0,310070.0
240,16-01-2020,1550.5,260050.0
241,17-01-2020,1560.3,264930.0
242,21-01-2020,1560.8,2220.0
243,22-01-2020,1556.7,286080.0
244,23-01-2020,1565.4,361030.0
245,24-01-2020,1571.9,427140.0
246,27-01-2020,1577.4,398060.0
247,28-01-2020,1569.8,378010.0
248,29-01-2020,1570.4,251270.0
249,30-01-2020,1589.2,382600.0
250,31-01-2020,1587.9,343370.0
251,03-02-2020,1582.4,320600.0
252,04-02-2020,1555.5,349000.0
253,05-02-2020,1562.8,306050.0
254,06-02-2020,1570.0,229000.0
255,07-02-2020,1573.4,286420.0
256,10-02-2020,1579.5,191750.0
257,11-02-2020,1570.1,231830.0
258,12-02-2020,1571.6,189550.0
259,13-02-2020,1578.8,276250.0
260,14-02-2020,1586.4,227110.0
261,18-02-2020,1603.6,414240.0
262,19-02-2020,1611.8,307890.0
263,20-02-2020,1620.5,403040.0
264,21-02-2020,1648.8,489190.0
265,24-02-2020,1676.6,680820.0
266,25-02-2020,1650.0,672760.0
267,26-02-2020,1643.1,531900.0
268,27-02-2020,1642.5,573290.0
269,28-02-2020,1566.7,745840.0
270,02-03-2020,1594.8,443530.0
271,03-03-2020,1644.4,466530.0
272,04-03-2020,1643.0,313340.0
273,05-03-2020,1668.0,363000.0
274,06-03-2020,1672.4,659630.0
275,09-03-2020,1675.7,504160.0
276,10-03-2020,1660.3,385480.0
277,11-03-2020,1642.3,404350.0
278,12-03-2020,1590.3,605720.0
279,13-03-2020,1516.7,551050.0
280,16-03-2020,1486.5,565980.0
281,17-03-2020,1525.8,434510.0
282,18-03-2020,1477.9,435190.0
283,19-03-2020,1479.3,325290.0
284,20-03-2020,1484.6,269970.0
285,23-03-2020,1567.6,362070.0
286,24-03-2020,1660.8,418780.0
287,25-03-2020,1633.4,254190.0
288,26-03-2020,1651.2,215970.0
289,27-03-2020,1654.1,159260.0
290,30-03-2020,1643.2,157370.0
291,31-03-2020,1596.6,176550.0
292,01-04-2020,1591.4,164480.0
293,02-04-2020,1637.7,167710.0
294,03-04-2020,1645.7,139610.0
295,06-04-2020,1693.9,192750.0
296,07-04-2020,1683.7,204500.0
297,08-04-2020,1684.3,125330.0
