,Date,Bitcoin_Price,Bitcoin_Vol.,Ethereum_Price,Ethereum_Vol.,Gold_Price,Gold_Vol.
0,2019-02-04,3462.8,503920.0,107.9,5020000.0,1319.3,159560.0
1,2019-02-05,3468.4,460950.0,107.37,4670000.0,1319.2,129010.0
2,2019-02-06,3404.3,514210.00000000006,104.63,6150000.0,1314.4,137250.0
3,2019-02-07,3397.7,471360.0,104.55,5050000.0,1314.2,166760.0
4,2019-02-08,3661.7,699230.0,119.23,9190000.0,1318.5,150610.0
5,2019-02-11,3631.8,517280.0,121.3,6130000.0,1311.9,150610.0
6,2019-02-12,3632.0,545820.0,122.64,5740000.0,1314.0,146450.0
7,2019-02-13,3611.5,558020.0,122.22,6170000.0,1315.1,213960.0
8,2019-02-14,3592.6,498140.0,120.97,5810000.0,1313.9,228460.0
9,2019-02-15,3604.7,516210.00000000006,121.73,5690000.0,1322.1,200280.0
10,2019-02-19,3914.3,1440000.0,144.01,9900000.0,1344.8,348640.0
11,2019-02-20,3972.4,698010.0,149.11,8610000.0,1347.9,246720.0
12,2019-02-21,3936.6,668160.0,145.78,7210000.0,1327.8,285810.0
13,2019-02-22,3965.2,649550.0,147.97,6790000.0,1332.8,241800.0
14,2019-02-25,3833.7,765870.0,138.27,10550000.0,1329.5,181780.0
15,2019-02-26,3810.3,2090000.0,136.67,11750000.0,1328.5,185560.0
16,2019-02-27,3814.6,2820000.0,135.2,16110000.0,1321.2,198040.0
17,2019-02-28,3816.6,2310000.0,135.47,16079999.999999998,1316.1,252240.0
18,2019-03-01,3821.9,1740000.0,135.72,9730000.0,1299.2,343470.0
19,2019-03-04,3715.9,2850000.0,125.97,14110000.0,1287.5,268390.0
20,2019-03-05,3857.2,3820000.0,136.82,16739999.999999998,1284.7,216930.0
21,2019-03-06,3863.0,2520000.0,137.62,14700000.0,1287.6,192930.0
22,2019-03-07,3875.1,2600000.0,136.93,13290000.0,1286.1,257920.00000000003
23,2019-03-08,3865.9,2960000.0,133.85,12380000.0,1299.3,283840.0
24,2019-03-11,3870.3,3190000.0,132.99,11170000.0,1291.1,196860.0
25,2019-03-12,3886.0,2900000.0,133.8,13030000.0,1298.1,203890.0
26,2019-03-13,3865.1,2280000.0,131.97,9590000.0,1309.3,214240.0
27,2019-03-14,3879.0,2860000.0,132.45,9790000.0,1295.1,248210.0
28,2019-03-15,3924.3,3110000.0,136.75,12550000.0,1302.9,234650.0
29,2019-03-18,3990.2,2620000.0,137.92,12870000.0,1301.5,176490.0
30,2019-03-19,4017.0,2990000.0,138.72,10840000.0,1306.5,206900.0
31,2019-03-20,4041.2,3180000.0,139.31,10460000.0,1301.7,370400.0
32,2019-03-21,3982.2,3880000.0,135.11,12950000.0,1307.3,332610.0
33,2019-03-22,3990.4,2830000.0,136.42,10180000.0,1312.3,271380.0
34,2019-03-25,3937.0,2860000.0,134.25,11490000.0,1322.6,251980.0
35,2019-03-26,3942.8,2530000.0,134.37,9470000.0,1315.0,267170.0
36,2019-03-27,4041.7,2780000.0,139.65,15470000.0,1310.4,206260.0
37,2019-03-28,4025.6,2110000.0,138.15,9520000.0,1295.3,426820.0
