,Date,Gold_Price,Gold_Vol.
0,2019-02-04,1319.3,159560.0
1,2019-02-05,1319.2,129010.0
2,2019-02-06,1314.4,137250.0
3,2019-02-07,1314.2,166760.0
4,2019-02-08,1318.5,150610.0
5,2019-02-11,1311.9,150610.0
6,2019-02-12,1314.0,146450.0
7,2019-02-13,1315.1,213960.0
8,2019-02-14,1313.9,228460.0
9,2019-02-15,1322.1,200280.0
10,2019-02-19,1344.8,348640.0
11,2019-02-20,1347.9,246720.0
12,2019-02-21,1327.8,285810.0
13,2019-02-22,1332.8,241800.0
14,2019-02-25,1329.5,181780.0
15,2019-02-26,1328.5,185560.0
16,2019-02-27,1321.2,198040.0
17,2019-02-28,1316.1,252240.0
18,2019-03-01,1299.2,343470.0
19,2019-03-04,1287.5,268390.0
20,2019-03-05,1284.7,216930.0
21,2019-03-06,1287.6,192930.0
22,2019-03-07,1286.1,257920.00000000003
23,2019-03-08,1299.3,283840.0
24,2019-03-11,1291.1,196860.0
25,2019-03-12,1298.1,203890.0
26,2019-03-13,1309.3,214240.0
27,2019-03-14,1295.1,248210.0
28,2019-03-15,1302.9,234650.0
29,2019-03-18,1301.5,176490.0
30,2019-03-19,1306.5,206900.0
31,2019-03-20,1301.7,370400.0
32,2019-03-21,1307.3,332610.0
33,2019-03-22,1312.3,271380.0
34,2019-03-25,1322.6,251980.0
35,2019-03-26,1315.0,267170.0
36,2019-03-27,1310.4,206260.0
37,2019-03-28,1295.3,426820.0
38,2019-03-29,1298.5,270180.0
39,2019-04-01,1294.2,236660.0
40,2019-04-02,1295.4,196400.0
41,2019-04-03,1295.3,190370.0
42,2019-04-04,1294.3,262540.0
43,2019-04-05,1295.6,231450.0
44,2019-04-08,1301.9,207570.0
45,2019-04-09,1308.3,200340.0
46,2019-04-10,1313.9,218880.0
47,2019-04-11,1293.3,324740.0
48,2019-04-12,1295.2,192490.0
49,2019-04-15,1291.3,232990.0
50,2019-04-16,1277.2,326510.0
51,2019-04-17,1276.8,223360.0
52,2019-04-18,1276.0,229630.0
53,2019-04-22,1277.6,136440.0
54,2019-04-23,1273.2,280340.0
55,2019-04-24,1279.4,246050.0
56,2019-04-25,1279.7,237150.0
57,2019-04-26,1288.8,278890.0
58,2019-04-29,1281.5,208960.0
59,2019-04-30,1285.7,239440.0
60,2019-05-01,1284.2,275430.0
61,2019-05-02,1272.0,282500.0
62,2019-05-03,1281.3,280320.0
63,2019-05-06,1283.8,244340.0
64,2019-05-07,1285.6,251090.0
65,2019-05-08,1281.4,302690.0
66,2019-05-09,1285.2,306550.0
67,2019-05-10,1287.4,238640.0
68,2019-05-13,1301.8,379440.0
69,2019-05-14,1296.3,222050.0
70,2019-05-15,1297.8,247520.0
71,2019-05-16,1286.2,282070.0
72,2019-05-17,1275.7,264570.0
73,2019-05-20,1277.3,212180.0
74,2019-05-21,1273.2,213170.0
75,2019-05-22,1274.2,191370.0
76,2019-05-23,1285.4,330160.0
77,2019-05-24,1283.6,218710.0
78,2019-05-28,1280.1,780.0
79,2019-05-29,1281.0,189690.0
80,2019-05-30,1292.4,284020.0
81,2019-05-31,1311.1,341180.0
82,2019-06-03,1327.9,363400.0
83,2019-06-04,1328.7,319960.0
84,2019-06-05,1333.6,413470.0
85,2019-06-06,1342.7,263090.0
86,2019-06-07,1346.1,331290.0
87,2019-06-10,1329.3,228030.0
88,2019-06-11,1331.2,215150.0
89,2019-06-12,1336.8,234460.0
90,2019-06-13,1343.7,204830.0
91,2019-06-14,1344.5,358450.0
92,2019-06-17,1342.9,238710.0
93,2019-06-18,1350.7,376270.0
94,2019-06-19,1348.8,332610.0
95,2019-06-20,1396.9,542900.0
96,2019-06-21,1400.1,518890.0
97,2019-06-24,1418.2,375150.0
98,2019-06-25,1418.7,643590.0
99,2019-06-26,1415.4,421950.0
100,2019-06-27,1412.0,336360.0
101,2019-06-28,1413.7,306620.0
102,2019-07-01,1389.3,389760.0
103,2019-07-02,1408.0,383250.0
104,2019-07-03,1420.9,419610.0
105,2019-07-05,1403.4,340.0
106,2019-07-08,1400.0,318690.0
107,2019-07-09,1400.5,287180.0
108,2019-07-10,1412.5,443500.0
109,2019-07-11,1406.7,400090.0
110,2019-07-12,1412.2,284970.0
111,2019-07-15,1413.5,243380.0
112,2019-07-16,1411.2,334820.0
113,2019-07-17,1423.3,358170.0
114,2019-07-18,1428.1,481330.0
115,2019-07-19,1426.7,530020.0
116,2019-07-22,1426.9,255350.0
117,2019-07-23,1421.7,386680.0
118,2019-07-24,1423.6,318160.0
119,2019-07-25,1414.7,489390.0
120,2019-07-26,1419.3,306020.0
121,2019-07-29,1420.4,224270.0
122,2019-07-30,1441.8,259620.0
123,2019-07-31,1437.8,419580.0
124,2019-08-01,1432.4,587560.0
125,2019-08-02,1457.5,493050.0
126,2019-08-05,1476.5,534190.0
127,2019-08-06,1484.2,381920.0
128,2019-08-07,1519.6,651550.0
129,2019-08-08,1509.5,402960.0
130,2019-08-09,1508.5,332610.0
131,2019-08-12,1517.2,355100.0
132,2019-08-13,1514.1,616740.0
133,2019-08-14,1527.8,484190.0
134,2019-08-15,1531.2,436120.0
135,2019-08-16,1523.6,322460.0
136,2019-08-19,1511.6,295830.0
137,2019-08-20,1515.7,247540.0
138,2019-08-21,1515.7,245900.0
139,2019-08-22,1508.5,279410.0
140,2019-08-23,1537.6,473000.0
141,2019-08-26,1537.2,411670.0
142,2019-08-27,1551.8,347050.0
143,2019-08-28,1549.1,353910.0
144,2019-08-29,1536.9,455600.0
145,2019-08-30,1529.4,330850.0
146,2019-09-03,1552.8,0.0
147,2019-09-04,1560.4,412350.0
148,2019-09-05,1525.5,606400.0
149,2019-09-06,1515.5,544870.0
150,2019-09-09,1511.1,317520.0
151,2019-09-10,1499.2,397920.0
152,2019-09-11,1503.2,308790.0
153,2019-09-12,1507.4,491470.0
154,2019-09-13,1499.5,364420.0
155,2019-09-16,1511.5,349610.0
156,2019-09-17,1513.4,336630.0
157,2019-09-18,1515.8,364960.0
158,2019-09-19,1506.2,291300.0
159,2019-09-20,1515.1,284390.0
160,2019-09-23,1531.5,359880.0
161,2019-09-24,1540.2,424860.0
162,2019-09-25,1512.3,481460.0
163,2019-09-26,1515.2,378290.0
164,2019-09-27,1506.4,451930.0
165,2019-09-30,1472.9,439710.0
166,2019-10-01,1489.0,450170.0
167,2019-10-02,1507.9,393100.0
168,2019-10-03,1513.8,408740.0
169,2019-10-04,1512.9,344790.0
170,2019-10-07,1504.4,257780.0
171,2019-10-08,1503.9,371440.0
172,2019-10-09,1512.8,285280.0
173,2019-10-10,1500.9,417880.0
174,2019-10-11,1488.7,485960.0
175,2019-10-14,1497.6,228320.0
176,2019-10-15,1483.5,317990.0
177,2019-10-16,1494.0,367900.0
178,2019-10-17,1498.3,305670.0
179,2019-10-18,1494.1,232550.0
180,2019-10-21,1488.1,284290.0
181,2019-10-22,1487.5,208970.0
182,2019-10-23,1495.7,244620.0
183,2019-10-24,1504.7,305010.0
184,2019-10-25,1505.3,368740.0
185,2019-10-28,1495.8,318130.0
186,2019-10-29,1490.7,291980.0
187,2019-10-30,1496.7,353640.0
188,2019-10-31,1514.8,390010.0
189,2019-11-01,1511.4,380990.0
190,2019-11-04,1511.1,260200.0
191,2019-11-05,1483.7,593620.0
192,2019-11-06,1493.1,313720.0
193,2019-11-07,1466.4,674980.0
194,2019-11-08,1462.9,447070.0
195,2019-11-11,1457.1,310160.0
196,2019-11-12,1453.7,429610.0
197,2019-11-13,1463.3,352330.0
198,2019-11-14,1473.4,317400.0
199,2019-11-15,1468.5,251210.0
200,2019-11-18,1471.9,331240.0
201,2019-11-19,1474.3,307860.0
202,2019-11-20,1474.2,369970.0
203,2019-11-21,1463.6,388340.0
204,2019-11-22,1463.6,320500.0
205,2019-11-25,1456.9,298710.0
206,2019-11-26,1460.3,346360.0
207,2019-11-27,1453.4,88360.0
208,2019-11-29,1472.7,272340.0
209,2019-12-02,1469.2,316580.0
210,2019-12-03,1484.4,400900.0
211,2019-12-04,1480.2,319730.0
212,2019-12-05,1483.1,240010.0
213,2019-12-06,1465.1,317320.0
214,2019-12-09,1464.9,177220.0
215,2019-12-10,1468.1,228830.0
216,2019-12-11,1475.0,251730.0
217,2019-12-12,1472.3,409860.0
218,2019-12-13,1481.2,356680.0
219,2019-12-16,1480.5,165850.0
220,2019-12-17,1480.6,173250.0
221,2019-12-18,1478.7,197970.0
222,2019-12-19,1484.4,201190.0
223,2019-12-20,1480.9,140770.0
224,2019-12-23,1488.7,162450.0
225,2019-12-24,1504.8,183680.0
226,2019-12-26,1514.4,216610.0
227,2019-12-27,1518.1,204990.0
228,2019-12-30,1518.6,178720.0
229,2019-12-31,1523.1,220850.0
230,2020-01-02,1528.1,270550.0
231,2020-01-03,1552.4,436740.0
232,2020-01-06,1568.8,558970.0
233,2020-01-07,1574.3,435870.0
234,2020-01-08,1560.2,813410.0
235,2020-01-09,1554.3,372880.0
236,2020-01-10,1560.1,344340.0
237,2020-01-13,1550.6,311730.0
238,2020-01-14,1544.6,340910.0
239,2020-01-15,1554.0,310070.0
240,2020-01-16,1550.5,260050.0
241,2020-01-17,1560.3,264930.0
242,2020-01-21,1560.8,2220.0
243,2020-01-22,1556.7,286080.0
244,2020-01-23,1565.4,361030.0
245,2020-01-24,1571.9,427140.0
246,2020-01-27,1577.4,398060.0
247,2020-01-28,1569.8,378010.0
248,2020-01-29,1570.4,251270.0
249,2020-01-30,1589.2,382600.0
250,2020-01-31,1587.9,343370.0
251,2020-02-03,1582.4,320600.0
252,2020-02-04,1555.5,349000.0
253,2020-02-05,1562.8,306050.0
254,2020-02-06,1570.0,229000.0
255,2020-02-07,1573.4,286420.0
256,2020-02-10,1579.5,191750.0
257,2020-02-11,1570.1,231830.0
258,2020-02-12,1571.6,189550.0
259,2020-02-13,1578.8,276250.0
260,2020-02-14,1586.4,227110.0
261,2020-02-18,1603.6,414240.0
262,2020-02-19,1611.8,307890.0
263,2020-02-20,1620.5,403040.0
264,2020-02-21,1648.8,489190.0
265,2020-02-24,1676.6,680820.0
266,2020-02-25,1650.0,672760.0
267,2020-02-26,1643.1,531900.0
268,2020-02-27,1642.5,573290.0
269,2020-02-28,1566.7,745840.0
270,2020-03-02,1594.8,443530.0
271,2020-03-03,1644.4,466530.0
272,2020-03-04,1643.0,313340.0
273,2020-03-05,1668.0,363000.0
274,2020-03-06,1672.4,659630.0
275,2020-03-09,1675.7,504160.0
276,2020-03-10,1660.3,385480.0
277,2020-03-11,1642.3,404350.0
278,2020-03-12,1590.3,605720.0
279,2020-03-13,1516.7,551050.0
280,2020-03-16,1486.5,565980.0
281,2020-03-17,1525.8,434510.0
282,2020-03-18,1477.9,435190.0
283,2020-03-19,1479.3,325290.0
284,2020-03-20,1484.6,269970.0
285,2020-03-23,1567.6,362070.0
286,2020-03-24,1660.8,418780.0
287,2020-03-25,1633.4,254190.0
288,2020-03-26,1651.2,215970.0
289,2020-03-27,1654.1,159260.0
290,2020-03-30,1643.2,157370.0
291,2020-03-31,1596.6,176550.0
292,2020-04-01,1591.4,164480.0
293,2020-04-02,1637.7,167710.0
294,2020-04-03,1645.7,139610.0
295,2020-04-06,1693.9,192750.0
296,2020-04-07,1683.7,204500.0
297,2020-04-08,1684.3,125330.0
298,2020-04-09,1752.8,218800.0
299,2020-04-13,1761.4,166890.0
300,2020-04-14,1768.9,241190.0
301,2020-04-15,1740.2,186700.0
302,2020-04-16,1731.7,204230.0
303,2020-04-17,1698.8,227070.0
304,2020-04-20,1711.2,186910.0
305,2020-04-21,1687.8,248630.0
306,2020-04-22,1738.3,193730.0
307,2020-04-23,1745.4,201880.0
308,2020-04-24,1735.6,180240.0
309,2020-04-27,1723.8,146640.0
310,2020-04-28,1722.2,171340.0
311,2020-04-29,1713.4,159600.0
312,2020-04-30,1694.2,234530.0
313,2020-05-01,1700.9,168020.0
314,2020-05-04,1713.3,148730.0
315,2020-05-05,1710.6,184730.0
316,2020-05-06,1688.5,203370.0
317,2020-05-07,1725.8,250700.0
318,2020-05-08,1713.9,232810.0
319,2020-05-11,1698.0,202170.0
320,2020-05-12,1706.8,198070.0
321,2020-05-13,1716.4,211610.0
322,2020-05-14,1740.9,212910.0
323,2020-05-15,1756.3,200180.0
324,2020-05-18,1734.4,271470.0
325,2020-05-19,1745.6,185260.0
326,2020-05-20,1752.1,184460.0
327,2020-05-21,1721.9,238740.0
328,2020-05-22,1735.5,196820.0
329,2020-05-27,1710.7,137420.0
330,2020-05-28,1728.3,164820.0
331,2020-05-29,1751.7,150110.0
332,2020-06-01,1750.3,146130.0
333,2020-06-02,1734.0,175350.0
334,2020-06-03,1704.8,256520.0
335,2020-06-04,1727.4,198720.0
336,2020-06-05,1683.0,273680.0
337,2020-06-08,1705.1,154770.0
338,2020-06-09,1721.9,182910.0
339,2020-06-10,1720.7,198760.0
340,2020-06-11,1739.8,205350.0
341,2020-06-12,1737.3,151400.0
342,2020-06-15,1727.2,200230.0
343,2020-06-16,1736.5,182420.0
344,2020-06-17,1735.6,140070.0
345,2020-06-18,1731.1,155910.0
346,2020-06-19,1753.0,181150.0
347,2020-06-22,1766.4,228680.0
348,2020-06-23,1782.0,194680.0
349,2020-06-24,1775.1,239530.0
350,2020-06-25,1770.6,152200.0
351,2020-06-26,1780.3,201230.0
352,2020-06-29,1781.2,130510.0
353,2020-06-30,1800.5,199420.0
354,2020-07-01,1779.9,263250.0
355,2020-07-02,1790.0,186310.0
356,2020-07-07,1809.9,221730.0
357,2020-07-08,1820.6,247500.0
358,2020-07-09,1803.8,283370.0
359,2020-07-10,1801.9,223830.0
360,2020-07-13,1814.1,230400.0
361,2020-07-14,1813.4,253210.0
362,2020-07-15,1813.8,183060.0
363,2020-07-16,1800.3,196570.0
364,2020-07-17,1810.0,167010.0
365,2020-07-20,1817.4,177740.0
366,2020-07-21,1843.9,271090.0
367,2020-07-22,1865.1,382230.0
368,2020-07-23,1890.0,418750.0
369,2020-07-24,1897.5,300170.0
370,2020-07-27,1931.0,428230.0
371,2020-07-28,1944.6,434450.0
372,2020-07-29,1953.4,209840.0
373,2020-07-30,1966.8,271380.0
374,2020-07-31,1985.9,279320.0
375,2020-08-03,1986.3,178750.0
376,2020-08-04,2021.0,274420.0
377,2020-08-05,2049.3,366380.0
378,2020-08-06,2069.4,312760.0
379,2020-08-07,2028.0,398130.0
380,2020-08-10,2039.7,251310.0
381,2020-08-11,1946.3,565000.0
382,2020-08-12,1949.0,459840.0
383,2020-08-13,1970.4,349890.0
384,2020-08-14,1949.8,241800.0
385,2020-08-17,1998.7,289440.0
386,2020-08-18,2013.1,361480.0
387,2020-08-19,1970.3,443260.0
388,2020-08-20,1946.5,383340.0
389,2020-08-21,1947.0,355070.0
390,2020-08-24,1939.2,286260.0
391,2020-08-25,1923.1,274110.0
392,2020-08-26,1952.5,342210.0
393,2020-08-27,1932.6,467170.0
394,2020-08-28,1974.9,334100.0
395,2020-08-31,1978.6,245110.0
396,2020-09-01,1978.9,304890.0
397,2020-09-02,1944.7,332590.0
398,2020-09-03,1937.8,303030.0
399,2020-09-04,1934.3,304740.0
400,2020-09-09,1954.9,227180.0
401,2020-09-10,1964.3,271480.0
402,2020-09-11,1947.9,205230.0
403,2020-09-14,1963.7,200090.0
404,2020-09-15,1966.2,239540.0
405,2020-09-16,1970.5,298390.0
406,2020-09-17,1949.9,273140.0
407,2020-09-18,1962.1,176070.0
408,2020-09-21,1910.6,386670.0
409,2020-09-22,1907.6,282710.0
410,2020-09-23,1868.4,411560.0
411,2020-09-24,1876.9,345040.0
412,2020-09-25,1866.3,230860.0
413,2020-09-28,1882.3,235920.0
414,2020-09-29,1903.2,217800.0
415,2020-09-30,1895.5,259870.0
416,2020-10-01,1916.3,262090.0
417,2020-10-02,1907.6,212730.0
418,2020-10-05,1920.1,177590.0
419,2020-10-06,1908.8,219440.0
420,2020-10-07,1890.8,188590.0
421,2020-10-08,1895.1,185450.0
422,2020-10-09,1926.2,229850.0
423,2020-10-12,1928.9,157210.0
424,2020-10-13,1894.6,267540.0
425,2020-10-14,1907.3,188300.0
426,2020-10-15,1908.9,213570.0
427,2020-10-16,1906.4,146910.0
428,2020-10-19,1911.7,159850.0
429,2020-10-20,1915.4,163910.0
430,2020-10-21,1929.5,201270.0
431,2020-10-22,1904.6,215580.0
432,2020-10-23,1905.2,172960.0
433,2020-10-26,1905.7,166310.0
434,2020-10-27,1911.9,153300.0
435,2020-10-28,1879.2,297090.0
436,2020-10-29,1868.0,225160.0
437,2020-10-30,1879.9,213170.0
438,2020-11-02,1892.5,164940.0
439,2020-11-03,1910.4,171370.0
440,2020-11-04,1896.2,293950.0
441,2020-11-05,1946.8,297510.0
442,2020-11-06,1951.7,246780.0
443,2020-11-09,1854.4,496090.0
444,2020-11-10,1876.4,264870.0
