,Nvidia_Price,Nvidia_Vol.,Date,Timestamp
0,37.3,52860000.0,2019-02-04,1549213200.0
1,37.49,54240000.0,2019-02-05,1549299600.0
2,38.25,70250000.0,2019-02-06,1549386000.0
3,36.85,63710000.0,2019-02-07,1549472400.0
4,37.04,46160000.0,2019-02-08,1549558800.0
5,36.61,49520000.0,2019-02-11,1549818000.0
6,37.79,59110000.0,2019-02-12,1549904400.0
7,38.22,60540000.0,2019-02-13,1549990800.0
8,38.63,82730000.0,2019-02-14,1550077200.0
9,39.34,151670000.0,2019-02-15,1550163600.0
10,39.16,55190000.0,2019-02-19,1550509200.0
11,39.64,54100000.0,2019-02-20,1550595600.0
12,38.94,44850000.0,2019-02-21,1550682000.0
13,39.8,40170000.0,2019-02-22,1550768400.0
14,39.67,65599999.99999999,2019-02-25,1551027600.0
15,39.27,48850000.0,2019-02-26,1551114000.0
16,38.85,50030000.0,2019-02-27,1551200400.0
17,38.56,32490000.000000004,2019-02-28,1551286800.0
18,39.11,35720000.0,2019-03-01,1551373200.0
19,39.2,41000000.0,2019-03-04,1551632400.0
20,39.13,36290000.0,2019-03-05,1551718800.0
21,38.01,40350000.0,2019-03-06,1551805200.0
22,37.31,45010000.0,2019-03-07,1551891600.0
23,37.66,42240000.0,2019-03-08,1551978000.0
24,40.28,85970000.0,2019-03-11,1552237200.0
25,40.63,57960000.0,2019-03-12,1552323600.0
26,42.16,76890000.0,2019-03-13,1552410000.0
27,41.39,51940000.0,2019-03-14,1552496400.0
28,42.45,66150000.00000001,2019-03-15,1552582800.0
29,42.24,48700000.0,2019-03-18,1552842000.0
30,43.93,85500000.0,2019-03-19,1552928400.0
31,43.6,71910000.0,2019-03-20,1553014800.0
32,45.98,82430000.0,2019-03-21,1553101200.0
33,44.38,74760000.0,2019-03-22,1553187600.0
34,43.45,52520000.0,2019-03-25,1553446800.0
35,44.22,70350000.0,2019-03-26,1553533200.0
36,44.12,47440000.0,2019-03-27,1553619600.0
37,44.31,48030000.0,2019-03-28,1553706000.0
38,44.89,45690000.0,2019-03-29,1553792400.0
39,45.57,48380000.0,2019-04-01,1554051600.0
40,45.75,44090000.0,2019-04-02,1554138000.0
41,47.16,78880000.0,2019-04-03,1554224400.0
42,47.06,45740000.0,2019-04-04,1554310800.0
43,47.74,48170000.0,2019-04-05,1554397200.0
44,47.95,42420000.0,2019-04-08,1554656400.0
45,47.31,44000000.0,2019-04-09,1554742800.0
46,48.02,44480000.0,2019-04-10,1554829200.0
47,47.88,37460000.0,2019-04-11,1554915600.0
48,47.5,47170000.0,2019-04-12,1555002000.0
49,46.17,44010000.0,2019-04-15,1555261200.0
50,47.05,39500000.0,2019-04-16,1555347600.0
51,46.82,35100000.0,2019-04-17,1555434000.0
52,46.58,38100000.0,2019-04-18,1555520400.0
53,47.12,27990000.0,2019-04-22,1555866000.0
54,47.67,34690000.0,2019-04-23,1555952400.0
55,47.79,31820000.0,2019-04-24,1556038800.0
56,46.73,49930000.0,2019-04-25,1556125200.0
57,44.52,86900000.0,2019-04-26,1556211600.0
58,44.83,39190000.0,2019-04-29,1556470800.0
59,45.25,36290000.0,2019-04-30,1556557200.0
60,45.12,35430000.0,2019-05-01,1556643600.0
61,45.8,39470000.0,2019-05-02,1556730000.0
62,45.75,33680000.0,2019-05-03,1556816400.0
63,44.96,42220000.0,2019-05-06,1557075600.0
64,43.28,55520000.0,2019-05-07,1557162000.0
65,43.48,41920000.0,2019-05-08,1557248400.0
66,42.55,66019999.99999999,2019-05-09,1557334800.0
67,42.2,56950000.0,2019-05-10,1557421200.0
68,39.61,65690000.0,2019-05-13,1557680400.0
69,40.51,52490000.0,2019-05-14,1557766800.0
70,39.9,50230000.0,2019-05-15,1557853200.0
71,40.05,78110000.0,2019-05-16,1557939600.0
72,39.13,102210000.0,2019-05-17,1558026000.0
73,37.94,57210000.0,2019-05-20,1558285200.0
74,38.77,36180000.0,2019-05-21,1558371600.0
75,38.05,32590000.000000004,2019-05-22,1558458000.0
76,36.83,59180000.0,2019-05-23,1558544400.0
77,36.29,35760000.0,2019-05-24,1558630800.0
78,35.83,42840000.0,2019-05-28,1558976400.0
79,35.09,55980000.0,2019-05-29,1559062800.0
80,34.78,39430000.0,2019-05-30,1559149200.0
81,33.87,38970000.0,2019-05-31,1559235600.0
82,33.45,47860000.0,2019-06-03,1559494800.0
83,35.75,64180000.00000001,2019-06-04,1559581200.0
84,35.32,51160000.0,2019-06-05,1559667600.0
85,35.95,40810000.0,2019-06-06,1559754000.0
86,36.38,34890000.0,2019-06-07,1559840400.0
87,37.11,40280000.0,2019-06-10,1560099600.0
88,37.69,38390000.0,2019-06-11,1560186000.0
89,36.55,35890000.0,2019-06-12,1560272400.0
90,37.06,30810000.0,2019-06-13,1560358800.0
91,36.16,39440000.0,2019-06-14,1560445200.0
92,36.26,27600000.0,2019-06-17,1560704400.0
93,38.22,58190000.0,2019-06-18,1560790800.0
94,38.28,33160000.0,2019-06-19,1560877200.0
95,38.52,35020000.0,2019-06-20,1560963600.0
96,37.94,43440000.0,2019-06-21,1561050000.0
97,38.16,28290000.0,2019-06-24,1561309200.0
98,37.87,31190000.0,2019-06-25,1561395600.0
99,39.81,58410000.0,2019-06-26,1561482000.0
100,40.81,44540000.0,2019-06-27,1561568400.0
101,41.06,39770000.0,2019-06-28,1561654800.0
102,41.54,71150000.0,2019-07-01,1561914000.0
103,40.56,40020000.0,2019-07-02,1562000400.0
104,40.69,24660000.0,2019-07-03,1562086800.0
105,40.06,39660000.0,2019-07-05,1562259600.0
106,39.3,32980000.0,2019-07-08,1562518800.0
107,39.33,34290000.0,2019-07-09,1562605200.0
108,40.02,45210000.0,2019-07-10,1562691600.0
109,41.57,68260000.0,2019-07-11,1562778000.0
110,41.9,50640000.0,2019-07-12,1562864400.0
111,41.82,28980000.0,2019-07-15,1563123600.0
112,41.77,34140000.0,2019-07-16,1563210000.0
113,42.43,34820000.0,2019-07-17,1563296400.0
114,42.55,44320000.0,2019-07-18,1563382800.0
115,42.11,34490000.0,2019-07-19,1563469200.0
116,42.83,31590000.0,2019-07-22,1563728400.0
117,43.91,42820000.0,2019-07-23,1563814800.0
118,44.66,36620000.0,2019-07-24,1563901200.0
119,43.34,39270000.0,2019-07-25,1563987600.0
120,43.77,27420000.0,2019-07-26,1564074000.0
121,43.7,24820000.0,2019-07-29,1564333200.0
122,43.86,19780000.0,2019-07-30,1564419600.0
123,42.18,35940000.0,2019-07-31,1564506000.0
124,41.23,42120000.0,2019-08-01,1564592400.0
125,40.3,42830000.0,2019-08-02,1564678800.0
126,37.7,58920000.0,2019-08-05,1564938000.0
127,38.09,36130000.0,2019-08-06,1565024400.0
128,38.47,37260000.0,2019-08-07,1565110800.0
129,39.56,30930000.0,2019-08-08,1565197200.0
130,38.55,34180000.0,2019-08-09,1565283600.0
131,37.86,27920000.0,2019-08-12,1565542800.0
132,39.01,36050000.0,2019-08-13,1565629200.0
133,37.52,41990000.0,2019-08-14,1565715600.0
134,37.19,55450000.0,2019-08-15,1565802000.0
135,39.89,101540000.0,2019-08-16,1565888400.0
136,42.7,81630000.0,2019-08-19,1566147600.0
137,41.97,46350000.0,2019-08-20,1566234000.0
138,42.81,42790000.0,2019-08-21,1566320400.0
139,42.87,30380000.0,2019-08-22,1566406800.0
140,40.61,56950000.0,2019-08-23,1566493200.0
141,41.36,31860000.0,2019-08-26,1566752400.0
142,40.45,29150000.0,2019-08-27,1566838800.0
143,40.3,25580000.0,2019-08-28,1566925200.0
144,41.75,35840000.0,2019-08-29,1567011600.0
145,41.88,29090000.0,2019-08-30,1567098000.0
146,41.04,29650000.0,2019-09-03,1567443600.0
147,42.19,22810000.0,2019-09-04,1567530000.0
148,44.94,69650000.0,2019-09-05,1567616400.0
149,44.66,37700000.0,2019-09-06,1567702800.0
150,45.12,41750000.0,2019-09-09,1567962000.0
151,45.8,35280000.0,2019-09-10,1568048400.0
152,46.08,36150000.0,2019-09-11,1568134800.0
153,46.07,32780000.0,2019-09-12,1568221200.0
154,45.48,32460000.0,2019-09-13,1568307600.0
155,45.05,23180000.0,2019-09-16,1568566800.0
156,45.27,22850000.0,2019-09-17,1568653200.0
157,44.99,26400000.0,2019-09-18,1568739600.0
158,44.23,25630000.0,2019-09-19,1568826000.0
159,43.17,35730000.0,2019-09-20,1568912400.0
160,43.71,25580000.0,2019-09-23,1569171600.0
161,43.13,32120000.0,2019-09-24,1569258000.0
162,44.56,31310000.0,2019-09-25,1569344400.0
163,44.34,23780000.0,2019-09-26,1569430800.0
164,42.94,36600000.0,2019-09-27,1569517200.0
165,43.52,19320000.0,2019-09-30,1569776400.0
166,43.5,36760000.0,2019-10-01,1569862800.0
167,43.26,29570000.0,2019-10-02,1569949200.0
168,45.33,46270000.0,2019-10-03,1570035600.0
169,45.49,26800000.0,2019-10-04,1570122000.0
170,46.08,48830000.0,2019-10-07,1570381200.0
171,44.31,44930000.0,2019-10-08,1570467600.0
172,45.18,30790000.0,2019-10-09,1570554000.0
